mlb_origem;rota;titulo;preco;tipo;estoque_origem;categoria;catalog_product_id;family_name;variacoes;fotos;envio;frete_gratis;status_origem;tem_descricao
MLB4241442187;variacoes;Poltrona Decorativa Reclinável Para Sala De Estar E Recepção;869;gold_special;89998;MLB416807;;;3;20;me2;1;paused;1
MLB4270052241;variacoes;Mini Cama Baby De Espuma Montessoriana Segurança E Conforto;399;gold_special;74865;MLB3231;MLB61387864;;3;16;me2;1;paused;1
MLB4300116663;catalogo;Cama Infantil Espuma Montessoriana Juvenil Quarto C/ Colchão Cor Bege Liso;799;gold_special;99754;MLB3231;MLB60404388;Jelc Decor Mini cama Berço;0;6;me2;1;paused;1
MLB5898350202;catalogo;Cama Infantil Espuma Montessoriana Juvenil Quarto C/ Colchão Cor Rosa Liso;799;gold_pro;25297;MLB3231;MLB61688686;;0;7;me2;1;paused;1
MLB4281875711;catalogo;Cama Infantil Espuma Montessoriana Juvenil Quarto C/ Colchão Cor Azul-escuro Liso;799;gold_pro;24721;MLB3231;MLB60969924;;0;6;me2;1;paused;1
MLB5875214128;catalogo;Mini Cama Baby De Espuma Montessoriana Segurança E Conforto Cor Rosa Moisés;399;gold_special;24978;MLB3231;MLB61395056;;0;6;me2;1;paused;1
MLB5950318130;catalogo;Cama Infantil Montessoriana 100% Espuma D26 Com Proteção Lateral Para Menino E Menina Com Colchão 150x70 Cor Bege - Jb Estofados Liso;799;gold_special;99930;MLB3231;MLB62319897;Jb Estofados Cama Infantil Aurora Juvenil Infantil Juvenil Berço;0;5;me2;1;active;1
MLB4637486839;catalogo;Mini Cama Montessoriana Infantil 100% Espuma Com Proteção Lateral Aurora Baby Sem Colchão Cor Rosa Aurora Baby Premium;699;gold_special;9991;MLB3231;MLB68349029;JB Estofados Cama Infantil Aurora Baby Infantil Berço;0;5;me2;1;paused;1
MLB4683374677;catalogo;Poltrona Do Papai Reclinavel Corino Encosto Sala De Estar Cor Preto Desenho Do Tecido Big Ponme;799;gold_special;9992;MLB458191;MLB43825810;Art Estofados Top Sofas Premium Poltrona;0;5;me2;1;paused;1
MLB6715743070;catalogo;Poltrona Reclinável Ms Móveis Decor Preto Madeira Encosto Ajustável Corino;799;gold_special;9986;MLB439110;MLB37699580;MS Móveis Papai Decor Mamãe;0;5;me2;1;paused;1
MLB6091558468;catalogo;Camas Infantil Moisés Montessoriana Espuma Bebê Até 12 Meses Cor Rosa Liso;799;gold_special;15000;MLB455214;MLB63458580;;0;6;me2;1;paused;1
MLB4660978015;catalogo;Poltrona Do Papai Reclinavel Corino Encosto Sala De Estar Cor Preto Desenho Do Tecido Big Ponme;799;gold_special;9992;MLB458191;MLB43825810;Art Estofados Top Sofas Premium Poltrona;0;5;me2;1;paused;1
MLB4637466341;catalogo;Mini Cama Montessoriana Infantil 100% Espuma Com Proteção Lateral Aurora Baby Sem Colchão Cor Azul Azul-marinho Aurora Baby Premium;699;gold_special;9987;MLB3231;MLB68349030;JB Estofados Cama Infantil Aurora Baby Infantil Berço;0;5;me2;1;paused;1
MLB4381859073;catalogo;Sofa Decorativo Jelc Decor Recepção Tela Couro Color Marrom Liso;799;gold_special;19651;MLB416807;MLB54015640;;0;6;me2;1;paused;1
MLB6646194204;catalogo;Poltrona Cadeira Dream Papai E Mamãe Com Encosto Macio Reclinável E Retrátil Para Amamentação E Sala De Descanso Cor Marrom Jb Estofados Liso;999;gold_special;9876;MLB416807;MLB50745264;Reclinável JB Estofados Cadeira Soft Dream Poltrona;0;7;me2;1;active;1
MLB6721386060;catalogo;Poltrona Cadeira Lóttus Papai E Mamãe Com Encosto Macio Reclinável E Retrátil Para Sala De Descanso E Amamentação Cor Marrom Liso;899;gold_pro;9966;MLB416807;MLB50390784;Juliflex JB Estofados Decorativa Quarto Lottus Poltrona;0;7;me2;1;paused;1
MLB6712700578;catalogo;Poltrona Papai E Mamãe Vitória Encosto Reclinável Para Sala De Descanso E Amamentação Cor Preto Jb Estofados Liso;799;gold_special;9977;MLB416807;MLB67972624;Jb Estofados Reclinável Lash Designer Vitória Poltrona 1;0;7;me2;1;paused;1
MLB4620973343;catalogo;Poltrona Cadeira Dream Papai E Mamãe Com Encosto Macio Reclinável E Retrátil Para Sala De Descanso E Amamentação Cor Bege Jb Estofados Liso;949.99;gold_special;9883;MLB416807;MLB39459845;Reclinável JB Estofados Cadeira Soft Dream Poltrona;0;7;me2;1;active;1
MLB6303720430;catalogo;Cama Infantil Montessoriana Solteiro 100% Espuma D26 Para Colchão 188x88 Anti Impacto Com Proteção Lateral Cor Rosa - Jb Estofados Aconchego Sem Colchão;799;gold_special;9955;MLB3231;MLB65917627;JB Estofados 100% Acolchoada Espumática Infantil Solteiro;0;4;me2;1;paused;1
MLB4936103901;catalogo;Poltrona Cadeira Beny Preta Do Papai E Mamãe Com Encosto Reclinável E Retrátil Ideal Para Sala De Estar E Extensão De Cílios Jb Estofados Preto Liso;878.1;gold_pro;9997;MLB458191;MLB63070210;Juliflex Jb Estofados Retratil Beny Poltrona 1;0;8;me2;1;paused;1
MLB4382149299;catalogo;Camas Infantil Moisés Montessoriana Espuma Bebê Até 12 Meses Cor Azul Liso;799;gold_special;15000;MLB455214;MLB63459597;;0;6;me2;1;paused;1
MLB6712692360;catalogo;Poltrona Papai E Mamãe Vitória Encosto Reclinável Para Sala De Descanso E Amamentação Cor Bege Jb Estofados Liso;819;gold_special;9980;MLB416807;MLB67957465;JB Estofados Reclinável Lash Designer Vitória Poltrona;0;7;me2;1;active;1
MLB4637511875;catalogo;Mini Cama Montessoriana Infantil 100% Espuma Com Proteção Lateral Aurora Baby Sem Colchão Cor Bege Aurora Baby Premium;699;gold_special;9993;MLB3231;MLB68349028;JB Estofados Cama Infantil Aurora Baby Infantil Berço;0;5;me2;1;paused;1
MLB6693260610;catalogo;Poltrona Cadeira Glória Mamãe E Papai Com Encosto Macio Reclinável E Retrátil Para Sala De Descanso E Amamentação Cor Preto Liso;799;gold_special;9860;MLB416807;MLB49100139;Juliflex Jelc Decor Sofa Decorativo Recepção Poltrona;0;6;me2;1;paused;1
MLB6721344376;catalogo;Poltrona Cadeira Lóttus Papai E Mamãe Com Encosto Macio Reclinável E Retrátil Para Sala De Descanso E Amamentação Cor Preto Liso;899;gold_special;10000;MLB416807;MLB42526637;Juliflex JB Estofados Retrátil Decorativa Lottus Poltrona;0;7;me2;0;paused;1
MLB6303794232;catalogo;Cama Infantil 100% Espumada Montessoriana Juvenil Para Quarto Aconchegante Sem Colchão Cor Azul Liso Azul Liso;593.02;gold_special;9995;MLB3231;MLB60239141;Cama Infantil 100% Espumada Montessoriana Juvenil Para Quarto Aconchegante Sem Colchão Cor Azul Liso;0;4;me2;1;under_review;1
MLB4936197929;catalogo;Poltrona Papai E Mamãe Vitória Encosto Reclinável Para Sala De Descanso E Amamentação Cor Preto Jb Estofados Liso;792.1;gold_pro;9977;MLB458191;MLB67972624;Jb Estofados Reclinável Lash Designer Vitória Poltrona 1;0;7;me2;1;active;1
MLB6721349100;catalogo;Poltrona Cadeira Lóttus Papai E Mamãe Com Encosto Reclinável E Retrátil Para Sala De Descanso E Amamentação Cor Bege Liso;899;gold_pro;9895;MLB416807;MLB42526431;Retratil JB Estofados Estoril Reclinável Poltrona;0;6;me2;1;paused;1
MLB7246983450;tradicional;Poltrona Do Papai Premium Reclinável Para Sala De Estar Preto Liso;999;gold_special;9970;MLB1626;MLB75833746;Poltrona Do Papai Premium Reclinável Para Sala De Estar;0;6;me2;1;active;1
MLB7237233306;catalogo;Poltrona Cadeira Do Papai Com Encosto Macio Reclinável E Retrátil Revestido Em Corino Para Sala De Descanso E Amamentação Jb Estofados Cor Caramelo Liso;978;gold_special;9911;MLB458191;MLB73691155;JB Estofados Retrátil Decorativa Poltrona Reclinavel Poltrona 1;0;6;me2;1;active;1
MLB7525871806;tradicional;Poltrona Do Papai Amamentação Reclinável Para Sala De Estar Bege Liso;899;gold_special;10000;MLB1626;MLB75833544;Poltrona Do Papai Amamentação Reclinável Para Sala De Estar;0;8;me2;1;paused;1
MLB6087321804;catalogo;Poltrona Reclinável De Couro Sintético Preto Com Porta-copos Liso;999;gold_special;9985;MLB416807;MLB53926401;Juliflex Jelc Decor Premium Extenção De Cílios Soft Graça Poltrona;0;4;me2;1;active;1
MLB4614894581;catalogo;Poltrona Sofa Dream Papai E Mamãe Com Encosto Macio Reclinável E Retrátil Para Sala De Descanso Amamentação E Extensão De Cílios Cor Preta Liso;1078.99;gold_special;9888;MLB416807;MLB39459849;Reclinável JB Estofados Cadeira Soft Dream Poltrona;0;7;me2;1;active;1
MLB4964217061;catalogo;Cama Infantil Montessoriana Encanto 100% Espuma D26 Com Proteção Lateral Segurança E Conforto Para Menino E Menina Capa Removível Com Colchão Cor Bege - Jb Estofados;899;gold_special;9998;MLB3231;MLB75835544;Jb Estofados Encanto Montessoriana Infantil Juvenil Berço;0;7;me2;1;active;1
MLB7246983448;tradicional;Poltrona Do Papai Premium Reclinável Para Sala De Estar Caramelo Liso;899;gold_special;9978;MLB1626;MLB75833546;Poltrona Do Papai Premium Reclinável Para Sala De Estar;0;6;me2;1;under_review;1
MLB7525738160;tradicional;Poltrona Do Papai Amamentação Reclinável Para Sala De Estar Caramelo Liso;899;gold_special;10000;MLB1626;MLB75833544;Poltrona Do Papai Amamentação Reclinável Para Sala De Estar;0;7;me2;1;paused;1
MLB7337961684;catalogo;Juliflex Jb Estofados Premium Matrix Poltrona 1 Caramelo Liso;1099;gold_special;9529;MLB458191;MLB62518173;Juliflex JB Estofados Premium Matrix Poltrona 1;0;6;me2;1;active;1
MLB7521778056;catalogo;Papai Ms Móveis Cadeira Decor Poltrona Preto Liso;499;gold_pro;0;MLB458191;MLB36264611;Papai MS Móveis Cadeira Decor Poltrona;0;6;me2;1;paused;1
MLB4964229687;catalogo;Cama Infantil Montessoriana Encanto 100% Espuma D26 Com Proteção Lateral Segurança E Conforto Para Menino E Menina Capa Removível Com Colchão Cor Rosa- Jb Estofados;699;gold_special;9994;MLB3231;MLB75835542;JB Estofados Encanto Montessoriana Infantil Juvenil Berço;0;7;me2;1;active;1
MLB7416828576;catalogo;Poltrona Reclinável De Corino Com Apoio De Pernas, 1 Lugar Bege;878;gold_special;10000;MLB458191;MLB65905769;Bonan Casa e Requinte Retrátil Decorativa Poltrona Reclinavel Poltrona 1;0;6;me2;1;paused;1
MLB7521583026;catalogo;Cama Infantil Montessoriana Lisa 100% Espuma D26 Segurança E Conforto Para Menino E Menina Capa Removível Com Colchão Cor Bege - Jb Estofados Liso;899;gold_special;10000;MLB3231;MLB75618444;Jb Estofados Lisa Infantil Juvenil Montessori Berço;0;6;me2;1;active;1
MLB4941871067;tradicional;Poltrona Do Papai Premium Reclinável Para Sala De Estar Marrom Liso;899;gold_special;9957;MLB1626;MLB75833560;Poltrona Do Papai Premium Reclinável Para Sala De Estar;0;6;me2;1;under_review;1
