codigo,descricao,qtde,preco,custo,ult_aquisicao,markup
009862,CHINELO SLIDE OLYMPIKUS PRETO/PRETO MELB,4,169.9,79.5,29/10/25,113.71
006924,CHINELO SLIDE PEGADA 131283 283-03 ANALINA,2,149.9,71.55,25/06/25,109.5
008313,CHINELO SLIDE PEGADA 131661 03 SL ANILINA,5,159.9,77.06,25/06/25,107.5
010527,CHINELO SLIDE RIDER 11592 STEET AR411 PRETO/PRETO,12,44.9,22.14,23/04/26,102.8
009788,CHINELO SLIDE RIDER 12491 FEEL BL084 PRETO/PRETO,35,49.99,20.54,19/12/25,143.38
009894,CHINELO SLIDE RIDER 12529 R SOFT BR935,1,136.99,68.19,16/07/25,100.89
009720,CHINELO SLIDE UNDER ARMOUR WHITE/BLACK/BLACK,4,166.99,79.5,05/06/25,110.05
006871,CHINELO SLIDE UNDER ARMOUR 100UA,1,166.99,79.5,13/06/24,110.05
006872,CHINELO SLIDE UNDER ARMOUR 001CORE,29,149.9,63.6,15/12/25,135.69
006873,CHINELO SLIDE UNDER ARMOUR 100CORE,23,149.9,63.6,15/12/25,135.69
009693,CHINELO SLIDE UNDER ARMOUR PURPLE/PURPLE/NEB,3,155.99,74.2,27/05/25,110.23
010004,CHINELO SLIDE UNDER ARMOUR MYDNAVY,10,137.99,68.9,10/09/25,100.28
010003,CHINELO SLIDE UNDER ARMOUR BLACK/BLACK/WHITE,5,137.99,68.9,10/09/25,100.28
009871,CHINELO SLIM HAVAIANAS ELEGANCE ROSE GOLD,14,42.99,20.51,16/12/25,109.61
009726,CHINELO SLIM HAVAIANAS ELEGANCE BLOSSOM,22,42.99,16.99,22/04/26,153.03
010571,CHINELO SLIM HAVAIANAS GLITTER ED BEGE PALHA,48,79.99,31.4,08/05/26,154.75
010572,CHINELO SLIM HAVAIANAS GLITTER ED CINZA GELO,36,79.99,31.4,08/05/26,154.75
010573,CHINELO SLIM HAVAIANAS GLITTER ED VERDE OLIVE,34,79.99,31.4,30/05/26,154.75
