sku;custo;imposto;observacao
POLTRONAEROS-PRETO;480,00;7%;custo facilitaa.xlsx — Poltrona Papai Eros
POLTRONAMONA;340,00;7%;custo facilitaa.xlsx — Poltrona Mona
POLTRONAMONA-AZULPETROLEO;340,00;7%;custo facilitaa.xlsx — Poltrona Mona
POLTRONAMONA-BEGE;340,00;7%;custo facilitaa.xlsx — Poltrona Mona
POLTRONAMONA-CINZA;340,00;7%;custo facilitaa.xlsx — Poltrona Mona
POLTRONAMONA-GRAFITE;340,00;7%;custo facilitaa.xlsx — Poltrona Mona
POLTRONAMONA-LINHOBEGE;340,00;7%;custo facilitaa.xlsx — Poltrona Mona
POLTRONAMONA-LINHOPRETO;340,00;7%;custo facilitaa.xlsx — Poltrona Mona
POLTRONAMONA-PRETO;340,00;7%;custo facilitaa.xlsx — Poltrona Mona
POLTRONAMONAAZUL;340,00;7%;custo facilitaa.xlsx — Poltrona Mona
POLTRONAMONAAZULPETROLEO;340,00;7%;custo facilitaa.xlsx — Poltrona Mona
POLTRONAMONABEGE;340,00;7%;custo facilitaa.xlsx — Poltrona Mona
POLTRONAMONACINZA;340,00;7%;custo facilitaa.xlsx — Poltrona Mona
POLTRONAMONACORINO-CARAMELO;340,00;7%;custo facilitaa.xlsx — Poltrona Mona
POLTRONAMONACORINO-PRETO;340,00;7%;custo facilitaa.xlsx — Poltrona Mona
POLTRONAMONACORINOCARAMELO;340,00;7%;custo facilitaa.xlsx — Poltrona Mona
POLTRONAMONACORINOPRETO;340,00;7%;custo facilitaa.xlsx — Poltrona Mona
POLTRONANUVEMCONFORT-BEGE;350,00;7%;custo facilitaa.xlsx — Poltrona Nuvem Confort
POLTRONANUVEMCONFORT-CINZA;350,00;7%;custo facilitaa.xlsx — Poltrona Nuvem Confort
POLTRONANUVEMCONFORTBEGE;350,00;7%;custo facilitaa.xlsx — Poltrona Nuvem Confort
POLTRONANUVEMCONFORTCINZA;350,00;7%;custo facilitaa.xlsx — Poltrona Nuvem Confort
POLTRONAPAPAI-BEGE;480,00;7%;corrigido 03/09/2026 — mesmo produto de POLTRONAEROS, confirmado R$480 pelo Neto
POLTRONAPAPAI-PRETO;480,00;7%;corrigido 03/09/2026 — mesmo produto de POLTRONAEROS, confirmado R$480 pelo Neto
PUF-PRETO-CORINO;;7%;SEM CUSTO — SKU parcial/antigo, nao casou com familia da planilha
PUFF BENY-BEGE-90;;7%;SEM CUSTO — SKU parcial/antigo, nao casou com familia da planilha
PUFF CARAMELO;;7%;SEM CUSTO — SKU parcial/antigo, nao casou com familia da planilha
PUFF GRAFITE SOFA-BENY-180;;7%;SEM CUSTO — SKU parcial/antigo, nao casou com familia da planilha
PUFF GRECIA CAPPUCCINO;340,00;7%;custo facilitaa.xlsx — Puff Elegance/Grécia
PUFF GRECIA CRU;340,00;7%;custo facilitaa.xlsx — Puff Elegance/Grécia
PUFF GRECIA GRAFITE;340,00;7%;custo facilitaa.xlsx — Puff Elegance/Grécia
PUFF S0FA-CAMM CINZA;;7%;SEM CUSTO — SKU parcial/antigo, nao casou com familia da planilha
PUFF SOFA-1,40 LUXO SOFISTIC;;7%;SEM CUSTO — SKU parcial/antigo, nao casou com familia da planilha
PUFF SOFABENY-140-BEGE;;7%;SEM CUSTO — SKU parcial/antigo, nao casou com familia da planilha
PUFF SOFABENY-140GRAFITE;;7%;SEM CUSTO — SKU parcial/antigo, nao casou com familia da planilha
PUFFELEGANCE-CINZA/PRETO;340,00;7%;custo facilitaa.xlsx — Puff Elegance/Grécia
PUFFELEGANCE-CINZAPRETO;340,00;7%;custo facilitaa.xlsx — Puff Elegance/Grécia
PUFFELEGANCE-OFF/CARAMELO;340,00;7%;custo facilitaa.xlsx — Puff Elegance/Grécia
PUFFELEGANCE-OFFWHITECARAMEL;340,00;7%;custo facilitaa.xlsx — Puff Elegance/Grécia
PUFFELEGANCE-OFFWHITECARAMELO;340,00;7%;custo facilitaa.xlsx — Puff Elegance/Grécia
PUFFELEGANCECINZAPRETO;340,00;7%;custo facilitaa.xlsx — Puff Elegance/Grécia
PUFFELEGANCEO-FFWHITECARAMELO;340,00;7%;custo facilitaa.xlsx — Puff Elegance/Grécia
PUFFELEGANCEOFFWHITECARAMELO;340,00;7%;custo facilitaa.xlsx — Puff Elegance/Grécia
PUFFGRECIA-BEGE;340,00;7%;custo facilitaa.xlsx — Puff Elegance/Grécia
PUFFGRECIA-CAPUCCINO;340,00;7%;custo facilitaa.xlsx — Puff Elegance/Grécia
PUFFGRECIA-CINZA;340,00;7%;custo facilitaa.xlsx — Puff Elegance/Grécia
PUFFGRECIA-GRAFITE;340,00;7%;custo facilitaa.xlsx — Puff Elegance/Grécia
PUFFGRECIA-OFFWHITE;340,00;7%;custo facilitaa.xlsx — Puff Elegance/Grécia
PUFFGRECIA-PRETO;340,00;7%;custo facilitaa.xlsx — Puff Elegance/Grécia
PUFFPOLTRONAELEGANCE-CINZA/PRETO;340,00;7%;custo facilitaa.xlsx — Puff Elegance/Grécia
PUFFPOLTRONAELEGANCE-OFF/CARAMELO;340,00;7%;custo facilitaa.xlsx — Puff Elegance/Grécia
PUFFPOLTRONAELEGANCECINZA/PRETO;340,00;7%;custo facilitaa.xlsx — Puff Elegance/Grécia
PUFFPOLTRONAELEGANCEOFF/CARAMELO;340,00;7%;custo facilitaa.xlsx — Puff Elegance/Grécia
SOFABENY-BEGE140;580,00;7%;custo facilitaa.xlsx — Sofá benny 1,40
SOFABENY-BEGE180;610,00;7%;custo facilitaa.xlsx — Sofá benny 1,80
SOFABENY-CINZA140;580,00;7%;custo facilitaa.xlsx — Sofá benny 1,40
SOFABENY-CINZA180;610,00;7%;custo facilitaa.xlsx — Sofá benny 1,80
SOFABENY-CORINOPRETO140;580,00;7%;custo facilitaa.xlsx — Sofá benny 1,40 corino
