sku;item_id;titulo;status;preco;estoque;custo;imposto
POLTMANU_LINHO_CINZA;MLB4695819085;Poltrona Cheisselonge Premium Cinza Em Brim Para Sala E Escritório Liso;active;940.0;9997;;
SFMILAO180_CORINOCARAMELO;MLB4695858387;Puff Sofa-1,80 Elegante Corino  Sofisticado Caramelo Luxo Caramelo;active;1590.0;9989;700,00;7,0%
SFMILAO180_CORINOCARAMELO;MLB4695944189;Sofa Sala De Luxo Namoradeira Moderna Barbearia Couro Leve Caramelo Corino;active;1520.0;9987;700,00;7,0%
PUFFELEGANCE_OFFWHITE;MLB4696068885;Poltrona Elegance Estofado Tecido Macio Confortável Puff Off-white/caramelo Liso;active;730.0;9999;;
POLTMANU_LINHO_BEGE;MLB4698902885;Poltrona Nuvem Confort Sala Leve Barbearia Restaurante Leve Bege Liso;active;940.0;10000;;
POLTEROS_CORINOCARAMELO;MLB4701515641;Poltrona Papai Reclinável Couro Sala Tv Estar Conforto Cadeira Caramelo Facilita Brasil Estofados Liso;active;1020.0;9986;480,00;7,0%
POLTGRECIA_LINHO_BEGE;MLB4702629379;Puff Grecia Bege Conforto Hall Leve Compacto Elegante Bege;active;980.0;9999;340,00;7,0%
POLTGRECIA_LINHO_CAPUCCINO;MLB4709252151;Puff Grecia Conforto Tecido Brim Sala Tv Salão De Beleza Compacto Elegante Leve Salão De Beleza Fotografia Capuccino;active;860.9;10000;340,00;7,0%
POLTEROS_CORINOBEGE;MLB4709278071;Facilita Brasil Premium Cheisselonge Poltrona Off White Liso;active;1020.0;9992;480,00;7,0%
SFMILAO140_CORINOPRETO;MLB4717228777;Pufe Sofá 2 Lugares 1.40cm Corino Barbearia Loja Luxo F/limp Preto;active;1239.9;9984;500,00;7,0%
SFBENY180_LINHOCINZA;MLB4719096939;Sofá 3 Lugares Facilita Brasil Beny De Linho Cinza 180cm Cinza Liso;active;1699.0;9994;610,00;7,0%
SOFACAMA-BEGE180;MLB4719690011;Sofá Cama Bege Suede Reclinável Estofado Sala Leve Madeira Bege Liso;active;1074.82;9992;747,00;7,0%
SFBENY140_LINHO_CINZA;MLB4721841565;Sofá Beny Estofado Quadrado Forte Leve Sala Estar Luxo Grafite 140cm Liso Quadrado Compacto Cinza;active;1269.0;9997;580,00;7,0%
KIT2POLTIGRROSA;MLB4753151181;Kit 2 Poltrona Concha Estofado Hall Sala Estética Escritório Rosa Liso;paused;469.99;25;;
SFMOBLY180_VERDE;MLB4753411265;Sofá Cama Casal Queen Reclinável Bicama Estofado Leve Verde Verde Liso;active;1660.0;9975;;
SFMILAO140_CORINOCARAMELO;MLB4769875681;Pufe Sofá 2 Lugares 1.40cm Corino Barbearia Loja Luxo F/limp Caramelo;active;1239.0;9990;500,00;7,0%
7890759894790;MLB4781049663;Rofemar Moveis Jogo 2 Poltronas Cadeira Estofada Concha Decorativa Namoradeira Para Quarto E Recepção Cor Rosa Sala De Espera Hall Liso;paused;490.9;0;;
SFBENY140_LINHOCINZA;MLB4787622947;Puff Sofá 1,40m Luxo Sofisticado Elegante Linho Grafite Sala Tv Confortável Casa Apartamento;active;1430.0;10000;580,00;7,0%
RACKNEWAUROCINMEL;MLB4790206795;Rack Para Tv De 65 Polegadas Com Porta Ripada De Correr New Aurora Estante E Prateleira Cor Cinamomo Mel;paused;694.9;0;249,00;7,0%
ESCMADRIBRAN;MLB4790259617;Escrivaninha Gamer Mesa Para Pc Escritorio E Estudos Home Office Com Espaço Para Dois Monitores Madri Branca Branco;paused;312.99;58;;
ESCCONCEPTBRAN;MLB4792795095;Escrivaninha Para Escritório 136cm Moderna Home Office Computador Ampla Resistente Design Minimalista Branco;paused;387.8;0;;
ESCCONCEPTAMENDPRET;MLB4792801611;Mesa Para Pc Escrivaninha Para Escritório 136cm Moderna Home Office Computador Ampla Resistente Design Minimalista Amêndoa Preta;paused;387.8;0;;
ESCCONCEPTBRAN;MLB4792823351;Mesa Para Pc Escrivaninha Para Escritório 136cm Moderna Home Office Computador Ampla Resistente Design Minimalista Branca Branco;paused;387.8;0;;
ESCCONCEPTAMENDPRET;MLB4792825101;Escrivaninha Para Escritório 136cm Moderna Home Office Computador Ampla Resistente Design Minimalista Amêndoa Preta;paused;387.8;0;;
SFBENY180_CORINOPRETO;MLB4814267673;Sofá Beny 180cm Estofado Confortável Madeira Forte Sala C/ Almofada De Brinde Estar Moderno Hall Corino Preto Liso Preto Liso;active;1599.0;9994;610,00;7,0%
